Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
80271;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80908;Colorado Springs;CO;39.035216;-104.69575;-7;1;39.035216,-104.69575
80211;Denver;CO;39.767536;-105.01973;-7;1;39.767536,-105.01973
80476;Silver Plume;CO;39.695974;-105.73155;-7;1;39.695974,-105.73155
80542;Mead;CO;40.234505;-104.99747;-7;1;40.234505,-104.99747
80134;Parker;CO;39.508608;-104.78031;-7;1;39.508608,-104.78031
80212;Denver;CO;39.770336;-105.04688;-7;1;39.770336,-105.04688
81431;Redvale;CO;38.153484;-108.43921;-7;1;38.153484,-108.43921
81034;Crowley;CO;38.317851;-103.779959;-7;1;38.317851,-103.779959
80236;Denver;CO;39.652454;-105.04089;-7;1;39.652454,-105.04089
81522;Gateway;CO;38.715101;-109.01087;-7;1;38.715101,-109.01087
80138;Parker;CO;39.523171;-104.70607;-7;1;39.523171,-104.70607
81092;Wiley;CO;38.17924;-102.75161;-7;1;38.17924,-102.75161
80621;Fort Lupton;CO;40.090367;-104.79723;-7;1;40.090367,-104.79723
81201;Salida;CO;38.533464;-106.03468;-7;1;38.533464,-106.03468
80909;Colorado Springs;CO;38.851493;-104.77856;-7;1;38.851493,-104.77856
81064;Pritchett;CO;37.315497;-102.95462;-7;1;37.315497,-102.95462
82063;Jelm;CO;40.932966;-105.87705;-7;1;40.932966,-105.87705
80466;Nederland;CO;39.964486;-105.50805;-7;1;39.964486,-105.50805
80477;Steamboat Springs;CO;40.348242;-106.92691;-7;1;40.348242,-106.92691
80914;Colorado Springs;CO;38.819195;-104.701177;-7;1;38.819195,-104.701177
81610;Dinosaur;CO;40.334542;-108.76266;-7;1;40.334542,-108.76266
80977;Colorado Springs;CO;38.82469;-104.562027;-7;1;38.82469,-104.562027
80723;Brush;CO;40.23045;-103.60824;-7;1;40.23045,-103.60824
80483;Yampa;CO;40.149432;-106.90681000000001;-7;1;40.149432,-106.90681
81246;Canon City;CO;38.477563;-105.476577;-7;1;38.477563,-105.476577
81235;Lake City;CO;37.961233;-107.29953;-7;1;37.961233,-107.29953
80522;Fort Collins;CO;40.642907;-105.057005;-7;1;40.642907,-105.057005
80523;Fort Collins;CO;40.45553;-105.464832;-7;1;40.45553,-105.464832
80455;Jamestown;CO;40.094785;-105.39844;-7;1;40.094785,-105.39844
80735;Idalia;CO;39.709824;-102.24035;-7;1;39.709824,-102.24035
80751;Sterling;CO;40.633845;-103.21574;-7;1;40.633845,-103.21574
80539;Loveland;CO;40.38636;-105.163377;-7;1;40.38636,-105.163377
80127;Littleton;CO;39.599755;-105.13052;-7;1;39.599755,-105.13052
81134;Garcia;CO;37.092195;-105.530023;-7;1;37.092195,-105.530023
